#####################################################################
# Alchemist log file - simulation started at: 2024-05-21T17:09+0000 #
#####################################################################
#
# Seed = 7.0, Thresholds = [10.0, 100.0], SwapPolicy = smartphone
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] CloudCost[sum] CloudInstance[sum] SmartphoneRechargeTime[mean] WearableRechargeTime[mean] PercentageSensorInWearable BehaviorOffloadedInCloud 
0.0 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 NaN NaN 0.0 0.0
9.841513444959205E-4 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 NaN NaN 0.0 0.0
60.0009841513445 0.86 86.0 3645.0642235112355 246.1537987424374 0.13999999999999996 14.0 0.13999999999999996 14.0 178.58825264798048 17858.825264798044 0.0 0.0 0.0 0.0 68.92390401191525 6892.390401191525 0.0 87.66970739500144 17.34642306230739 17.34642306230739 2.1721230143882546 186.80257923738992 0.005568909663957143 0.4789262311003144 0.05674666666666665 1.0 8.399999999999999 8.399999999999999 0.0 0.0
120.0009841513445 0.86 86.0 3640.231142317194 246.55910404988146 0.13999999999999996 14.0 0.13999999999999996 14.0 358.5882526479805 35858.82526479806 0.0 0.0 0.0 0.0 137.41452346799358 13741.452346799355 0.0 176.39635938944005 0.06374103040212953 0.06374103040212953 2.146044072434912 184.5597902294025 0.0058631294965783825 0.5042291367057409 0.11647999999999996 1.0 16.799999999999997 16.799999999999997 0.0 0.0
180.00098415134448 0.86 86.0 3635.376407277947 246.9642369282339 0.13999999999999996 14.0 0.13999999999999996 14.0 538.5882526479805 53858.825264798055 0.0 0.0 0.0 0.0 204.26003342230038 20426.003342230033 0.0 262.497712220335 8.6556267236128 8.6556267236128 2.161384460378936 185.87906359258847 0.006208010319274065 0.5338888874575696 0.17621333333333328 1.0 25.200000000000006 25.200000000000006 0.0 0.0
240.00098415134448 0.86 86.0 3630.220522671126 247.36957478450267 0.13999999999999996 14.0 0.13999999999999996 14.0 718.5882526479805 71858.82526479806 0.0 0.0 0.0 0.0 269.8110909215587 26981.10909215586 0.0 350.72218816866234 8.41504676843285 8.41504676843285 2.1836894867667933 187.79729586194412 0.005568368045702922 0.47887965193045134 0.23594666666666658 1.0 33.599999999999994 33.599999999999994 0.0 0.0
300.0009841513445 0.86 86.0 3625.07675111672 247.77472031212162 0.13999999999999996 14.0 0.13999999999999996 14.0 898.5882526479805 89858.82526479806 0.0 0.0 0.0 0.0 334.21011286325603 33421.0112863256 0.0 437.7931211361202 12.51891640327054 12.51891640327054 2.1543904015208604 185.27757453079394 0.006012093708181577 0.5170400589036158 0.29568000000000116 1.0 42.0 42.0 0.0 0.0
360.0009841513445 0.86 86.0 3619.910578402935 248.17528286667908 0.13999999999999996 14.0 0.13999999999999996 14.0 1078.5882526479804 107858.82526479807 0.0 0.0 0.0 0.0 395.60843114135105 39560.843114135125 0.0 525.9982356189489 4.560304250035955 4.560304250035955 2.150274250618395 184.92358555318202 0.005335826519844303 0.45888108070660993 0.35541333333333613 1.0 50.40000000000001 50.40000000000001 0.0 0.0
420.0009841513445 0.86 86.0 3614.7127752335523 248.54702295190717 0.13999999999999996 14.0 0.13999999999999996 14.0 1258.5882526479804 125858.82526479806 0.0 0.0 0.0 0.0 451.80044405198083 45180.04440519809 0.0 614.3736280550064 2.2014907557623986 2.2014907557623986 2.1395258577929006 183.99922377018942 0.005277806035729298 0.4538913190727197 0.4151466666666711 1.0 58.800000000000004 58.800000000000004 0.0 0.0
480.0009841513445 0.87 87.0 3609.1813534477096 248.90952287002904 0.13000000000000003 13.0 0.13000000000000003 13.0 1438.5882526479804 143858.825264798 0.0 0.0 0.0 0.0 506.0470123694222 50604.701236942215 0.0 701.4165244013535 13.76916842738467 13.76916842738467 2.1584320967189683 187.7835924145502 0.005075750281316044 0.44159027447449567 0.4748800000000061 1.0 67.02000000000001 67.02000000000001 0.0 0.0
540.0009841513445 0.87 87.0 3603.585057944519 249.25048181192807 0.13000000000000003 13.0 0.13000000000000003 13.0 1618.5882526479804 161858.82526479813 0.0 0.0 0.0 0.0 558.5907270584843 55859.07270584843 0.0 788.1229377457221 4.3433392830424395 4.3433392830424395 2.1845512724603613 190.05596070405147 0.005841745697757104 0.5082318757048678 0.5346133333333392 1.0 74.82000000000002 74.82000000000002 0.0 0.0
600.0009841513445 0.87 87.0 3597.602589763041 249.59154405954405 0.13000000000000003 13.0 0.13000000000000003 13.0 1798.5882526479804 179858.82526479807 0.0 0.0 0.0 0.0 610.2185919936735 61021.85919936735 0.0 875.4838116655953 5.995100737261925 5.995100737261925 2.1696459545443494 188.75919804535835 0.005576392487478264 0.48514614641060916 0.5943466666666708 1.0 82.62000000000002 82.62000000000002 0.0 0.0
660.0009841513445 0.87 87.0 3591.4313401743125 249.93274768958122 0.13000000000000003 13.0 0.13000000000000003 13.0 1978.5882526479804 197858.82526479807 0.0 0.0 0.0 0.0 658.9585035763166 65895.85035763167 0.0 965.0405287978909 15.810260620813137 15.810260620813137 2.1895600095011285 190.49172082659823 0.00591066395506677 0.5142277640908088 0.6540800000000024 1.0 90.42 90.42 0.0 0.0
