#####################################################################
# Alchemist log file - simulation started at: 2024-05-16T21:19+0000 #
#####################################################################
#
# Seed = 1.0, DeviceCount = 100, Thresholds = [30.0, 100.0], SwapPolicy = smartphone
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] TraveledDistanceLastTenMinutes[mean] TraveledDistanceLastTenMinutes[sum] TraveledDistanceLastTenMinutes[min] TraveledDistanceLastTenMinutes[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] CloudCost[sum] CloudCostPerHour[sum] CloudInstance[sum] PercentageSensorInWearable BehaviorOffloadedInCloud 
0.0 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 0.0 1.0 0.0 0.0
0.002188203284735346 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 0.0 1.0 0.0 0.0
60.00218820328473 0.019999999999999993 2.0 3589.46028311509 241.19778871910015 0.92 92.0 0.8800000000000001 88.0 178.385294470152 17838.5294470152 0.0 0.0 0.0 0.0 2.101730351721667 210.17303517216672 0.0 80.2122387850376 2.101730351721667 210.17303517216672 0.0 80.2122387850376 9.1344070513498 9.1344070513498 4.746264767955042 37.970118143640335 0.01729303496640276 0.2075164195968331 0.05873777777777776 0.05873777777777776 1.0 0.0 0.0
120.00218820328473 0.019999999999999993 2.0 3630.771170061391 245.0384289013944 0.89 89.0 0.8600000000000001 86.0 358.385294470152 35838.52944701519 0.0 0.0 0.0 0.0 3.7292444473868764 372.9244447386876 0.0 161.74774192753904 3.7292444473868764 372.9244447386876 0.0 161.74774192753904 10.38037241045997 10.38037241045997 4.624660543979919 50.871265983779125 0.02558725384577701 0.3582215538408781 0.11847111111111107 0.11847111111111107 1.0 0.0 0.0
180.00218820328473 0.04 4.0 3699.6231290206924 251.10790510084513 0.85 85.0 0.7799999999999999 78.0 538.385294470152 53838.5294470152 0.0 0.0 0.0 0.0 6.10944152130247 610.9441521302471 0.0 243.3563769736224 6.10944152130247 610.9441521302471 0.0 243.3563769736224 2.0803860773472853 2.0803860773472853 4.455396426815465 66.83094640223197 0.016026605720192086 0.3525853258442258 0.1782044444444444 0.1782044444444444 1.0 0.0 0.0
240.00218820328473 0.04999999999999999 5.0 3789.3429295283636 258.90752211267977 0.81 81.0 0.75 75.0 718.385294470152 71838.5294470152 0.0 0.0 0.0 0.0 10.067585321486751 1006.758532148675 0.0 329.8400656387858 10.067585321486751 1006.758532148675 0.0 329.8400656387858 8.31476168349097 8.31476168349097 4.673140580242939 88.78967102461586 0.02160851622094524 0.540212905523631 0.2379377777777777 0.2379377777777777 1.0 0.0 0.0
300.00218820328473 0.06999999999999998 7.0 3896.9250494363323 268.46476948625275 0.74 74.0 0.6999999999999998 70.0 898.385294470152 89838.5294470152 0.0 0.0 0.0 0.0 15.204061321379589 1520.4061321379586 0.0 416.576632506074 15.204061321379589 1520.4061321379586 0.0 416.576632506074 17.016962322907126 17.016962322907126 4.738289800283588 123.19553480737329 0.019665381360791823 0.5899614408237548 0.29767111111111233 0.29767111111111233 1.0 0.0 0.0
360.00218820328473 0.15000000000000005 15.0 4014.5140122558446 278.63279659430356 0.64 64.0 0.57 57.0 1078.385294470152 107838.52944701517 0.0 0.0 0.0 0.0 22.18996368780288 2218.9963687802883 0.0 503.44084650907115 22.18996368780288 2218.9963687802883 0.0 503.44084650907115 15.970436779132719 15.970436779132719 4.788551381695454 172.3878497410363 0.018617055566462502 0.8005333893578875 0.3574044444444473 0.3574044444444473 1.0 0.0 0.0
420.00218820328473 0.2899999999999999 29.0 4129.416096925734 287.66238380045945 0.51 51.0 0.4 40.0 1258.385294470152 125838.52944701514 0.0 0.0 0.0 0.0 39.720992111165515 3972.099211116551 0.0 590.3050639984988 39.720992111165515 3972.099211116551 0.0 590.3050639984988 0.5814498658861162 0.5814498658861162 4.756965915972852 233.09132988266978 0.02058363095054714 1.235017857032828 0.41713777777778227 0.41713777777778227 1.0 0.0 0.0
480.00218820328473 0.4099999999999999 41.0 4230.999112255491 295.1285172957422 0.42000000000000004 42.0 0.27 27.0 1438.385294470152 143838.52944701514 0.0 0.0 0.0 0.0 66.79330501667329 6679.3305016673285 0.0 676.6095731101951 66.79330501667329 6679.3305016673285 0.0 676.6095731101951 5.476203213617124 5.476203213617124 4.740669024248723 274.95880340642594 0.019796409492931825 1.4451378929840228 0.47687111111111724 0.47687111111111724 1.0 0.0 0.0
